SCAN_ROOT_COUNT	3
SCAN_FILE_COUNT	349
SCAN_TOTAL_BYTES	1215989873
CONTRACT_PATTERN	^\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}(\.\d{1,9})?([+-]\d{2}:\d{2}|Z)$

=== PER-FILE ===
file	bytes	lines	extracted	shapes
landing\events\2026090509.jsonl	12089941	26028	26027	CONTRACT_OK_OFFSET=26027
landing\events\2026090510.jsonl	15268153	32848	32847	CONTRACT_OK_OFFSET=32847
landing\events\2026090511.jsonl	17000746	36577	36576	CONTRACT_OK_OFFSET=36576
landing\events\2026090512.jsonl	18234895	39228	39227	CONTRACT_OK_OFFSET=39227
landing\events\2026090513.jsonl	16127604	34699	34698	CONTRACT_OK_OFFSET=34698
landing\events\2026090514.jsonl	15258744	32827	32826	CONTRACT_OK_OFFSET=32826
landing\events\2026090515.jsonl	14216195	30582	30581	CONTRACT_OK_OFFSET=30581
landing\events\2026090516.jsonl	13184054	28367	28366	CONTRACT_OK_OFFSET=28366
landing\events\2026090517.jsonl	16761473	36059	36058	CONTRACT_OK_OFFSET=36058
landing\events\2026090518.jsonl	20344587	43764	43763	CONTRACT_OK_OFFSET=43763
landing\events\2026090519.jsonl	19363647	41655	41654	CONTRACT_OK_OFFSET=41654
landing\events\2026090520.jsonl	20103891	43250	43249	CONTRACT_OK_OFFSET=43249
landing\events\2026090521.jsonl	18125058	38989	38988	CONTRACT_OK_OFFSET=38988
landing\events\2026090522.jsonl	14209197	30571	30570	CONTRACT_OK_OFFSET=30570
landing\events\2026090523.jsonl	8062834	17348	17347	CONTRACT_OK_OFFSET=17347
landing\events\2026090600.jsonl	2946673	6339	6338	CONTRACT_OK_OFFSET=6338
landing\events\2026090601.jsonl	2072574	4460	4459	CONTRACT_OK_OFFSET=4459
landing\events\2026090602.jsonl	1668224	3591	3590	CONTRACT_OK_OFFSET=3590
landing\events\2026090603.jsonl	1144345	2463	2462	CONTRACT_OK_OFFSET=2462
landing\events\2026090604.jsonl	1005211	2162	2161	CONTRACT_OK_OFFSET=2161
landing\events\2026090605.jsonl	1026537	2210	2209	CONTRACT_OK_OFFSET=2209
landing\events\2026090606.jsonl	2065794	4444	4443	CONTRACT_OK_OFFSET=4443
landing\events\2026090607.jsonl	5094599	10960	10959	CONTRACT_OK_OFFSET=10959
