### 批次 45 隔离明细（quarantine_record, 只读）时间 2026-09-12 22:09:02 
--- 按原因聚合计数据（batch_id=45）---
reason	n
缺失必要字段: event_id	31
payload 缺失必要字段: user_id	18
payload 缺失必要字段: order_id	12
payload 缺失必要字段: amount	5
金额格式违规: cost 类型异常	4
非法 behavior_type: add_cart	2
非法 behavior_type: cancel	2
非法 behavior_type: pay_later	2
非法 behavior_type: purchase	2
payload 缺失必要字段: age_group	1
payload 缺失必要字段: behavior_type	1
payload 缺失必要字段: category_id	1
payload 缺失必要字段: items	1
payload 缺失必要字段: member_level	1
payload 缺失必要字段: payment_id	1
payload 缺失必要字段: price	1
payload 缺失必要字段: reason	1
payload 缺失必要字段: refund_id	1
payload 缺失必要字段: session_id	1
payload 缺失必要字段: total_amount	1
payload 缺失或非对象	1
缺失必要字段: event_time	1
缺失必要字段: event_type	1
缺失必要字段: ingest_time	1
缺失必要字段: schema_version	1
缺失必要字段: source_system	1
缺失必要字段: trace_id	1
--- 逐行明细（batch_id=45，按 raw_path, id 排序）---
id	event_id	schema_version	reason	quar_file
194	b3a-evt-0028	1.0	缺失必要字段: ingest_time	D:\Develop_code\GraduationProject\landing\quarantine\45\b3a-missing-required.jsonl
195	b3a-evt-0029	1.0	缺失必要字段: event_time	D:\Develop_code\GraduationProject\landing\quarantine\45\b3a-missing-required.jsonl
196	b3a-evt-0030	1.0	payload 缺失或非对象	D:\Develop_code\GraduationProject\landing\quarantine\45\b3a-missing-required.jsonl
197	b3b-evt-0001	1.0	payload 缺失必要字段: amount	D:\Develop_code\GraduationProject\landing\quarantine\45\b3b-ambiguous-mapping.jsonl
198	b3b-evt-0002	1.0	payload 缺失必要字段: amount	D:\Develop_code\GraduationProject\landing\quarantine\45\b3b-ambiguous-mapping.jsonl
199	b3b-evt-0003	1.0	payload 缺失必要字段: amount	D:\Develop_code\GraduationProject\landing\quarantine\45\b3b-ambiguous-mapping.jsonl
200	b3b-evt-0004	1.0	payload 缺失必要字段: amount	D:\Develop_code\GraduationProject\landing\quarantine\45\b3b-ambiguous-mapping.jsonl
201	b3b-evt-0009	1.0	非法 behavior_type: purchase	D:\Develop_code\GraduationProject\landing\quarantine\45\b3b-ambiguous-mapping.jsonl
202	b3b-evt-0010	1.0	非法 behavior_type: add_cart	D:\Develop_code\GraduationProject\landing\quarantine\45\b3b-ambiguous-mapping.jsonl
203	b3b-evt-0011	1.0	非法 behavior_type: pay_later	D:\Develop_code\GraduationProject\landing\quarantine\45\b3b-ambiguous-mapping.jsonl
